NOC,INDICATOR,SUBJECT,MEASURE,FREQUENCY,Year,Value,Flag Codes
ROU,POP,MEN,MLN_PER,A,1982,11.089965,
ROU,POP,MEN,MLN_PER,A,1983,11.132391,
ROU,POP,MEN,MLN_PER,A,1984,11.172247,
ROU,POP,MEN,MLN_PER,A,1985,11.217469,
ROU,POP,MEN,MLN_PER,A,1986,11.26784,
ROU,POP,MEN,MLN_PER,A,1987,11.323039,
ROU,POP,MEN,MLN_PER,A,1988,11.376179,
ROU,POP,MEN,MLN_PER,A,1989,11.426568,
ROU,POP,MEN,MLN_PER,A,1990,11.445308,
ROU,POP,MEN,MLN_PER,A,1991,11.326777,
ROU,POP,MEN,MLN_PER,A,1992,11.202389,
ROU,POP,MEN,MLN_PER,A,1993,11.179916,
ROU,POP,MEN,MLN_PER,A,1994,11.156106,
ROU,POP,MEN,MLN_PER,A,1995,11.125558,
ROU,POP,MEN,MLN_PER,A,1996,11.085339,
ROU,POP,MEN,MLN_PER,A,1997,11.04502,
ROU,POP,MEN,MLN_PER,A,1998,11.014134,
ROU,POP,MEN,MLN_PER,A,1999,10.99061,
ROU,POP,MEN,MLN_PER,A,2000,10.971703,
ROU,POP,MEN,MLN_PER,A,2001,10.813778,
ROU,POP,MEN,MLN_PER,A,2002,10.564327,
ROU,POP,MEN,MLN_PER,A,2003,10.511908,
ROU,POP,MEN,MLN_PER,A,2004,10.451058,
ROU,POP,MEN,MLN_PER,A,2005,10.384483,
ROU,POP,MEN,MLN_PER,A,2006,10.320907,
ROU,POP,MEN,MLN_PER,A,2007,10.169596,
ROU,POP,MEN,MLN_PER,A,2008,10.000515,
ROU,POP,MEN,MLN_PER,A,2009,9.916107,
ROU,POP,MEN,MLN_PER,A,2010,9.856669,
ROU,POP,MEN,MLN_PER,A,2011,9.805108,
ROU,POP,MEN,MLN_PER,A,2012,9.770353,
ROU,POP,MEN,MLN_PER,A,2013,9.75631,
ROU,POP,MEN,MLN_PER,A,2014,9.730258,
ROU,POP,MEN,MLN_PER,A,2015,9.681656,
ROU,POP,MEN,MLN_PER,A,2016,9.627987,
ROU,POP,MEN,MLN_PER,A,2017,9.580581,
ROU,POP,MEN,MLN_PER,A,2018,9.528936,
ROU,POP,MEN,MLN_PER,A,2019,9.482661,
ROU,POP,MEN,MLN_PER,A,2020,9.419763,
ROU,POP,TOT,MLN_PER,A,1950,16.236289,
ROU,POP,TOT,MLN_PER,A,1951,16.51267,
ROU,POP,TOT,MLN_PER,A,1952,16.764911,
ROU,POP,TOT,MLN_PER,A,1953,17.005719,
ROU,POP,TOT,MLN_PER,A,1954,17.243812,
ROU,POP,TOT,MLN_PER,A,1955,17.483935,
ROU,POP,TOT,MLN_PER,A,1956,17.726634,
ROU,POP,TOT,MLN_PER,A,1957,17.96847,
ROU,POP,TOT,MLN_PER,A,1958,18.202715,
ROU,POP,TOT,MLN_PER,A,1959,18.42045,
ROU,POP,TOT,MLN_PER,A,1960,18.613945,
ROU,POP,TOT,MLN_PER,A,1961,18.78021,
ROU,POP,TOT,MLN_PER,A,1962,18.924152,
ROU,POP,TOT,MLN_PER,A,1963,19.059934,
ROU,POP,TOT,MLN_PER,A,1964,19.207139,
ROU,POP,TOT,MLN_PER,A,1965,19.379575,
ROU,POP,TOT,MLN_PER,A,1966,19.582332,
ROU,POP,TOT,MLN_PER,A,1967,19.810612,
ROU,POP,TOT,MLN_PER,A,1968,19.799831,
ROU,POP,TOT,MLN_PER,A,1969,20.009141,
ROU,POP,TOT,MLN_PER,A,1970,20.250396,
ROU,POP,TOT,MLN_PER,A,1971,20.461575,
ROU,POP,TOT,MLN_PER,A,1972,20.657956,
ROU,POP,TOT,MLN_PER,A,1973,20.835682,
ROU,POP,TOT,MLN_PER,A,1974,21.029428,
ROU,POP,TOT,MLN_PER,A,1975,21.293586,
ROU,POP,TOT,MLN_PER,A,1976,21.551631,
ROU,POP,TOT,MLN_PER,A,1977,21.756097,
ROU,POP,TOT,MLN_PER,A,1978,21.951467,
ROU,POP,TOT,MLN_PER,A,1979,22.090484,
ROU,POP,TOT,MLN_PER,A,1980,22.207284,
ROU,POP,TOT,MLN_PER,A,1981,22.353071,
ROU,POP,TOT,MLN_PER,A,1982,22.475742,
ROU,POP,TOT,MLN_PER,A,1983,22.560476,
ROU,POP,TOT,MLN_PER,A,1984,22.640545,
ROU,POP,TOT,MLN_PER,A,1985,22.732997,
ROU,POP,TOT,MLN_PER,A,1986,22.836836,
ROU,POP,TOT,MLN_PER,A,1987,22.949427,
ROU,POP,TOT,MLN_PER,A,1988,23.05766,
ROU,POP,TOT,MLN_PER,A,1989,23.16146,
ROU,POP,TOT,MLN_PER,A,1990,23.201832,
ROU,POP,TOT,MLN_PER,A,1991,23.00116,
ROU,POP,TOT,MLN_PER,A,1992,22.794284,
ROU,POP,TOT,MLN_PER,A,1993,22.763283,
ROU,POP,TOT,MLN_PER,A,1994,22.730216,
ROU,POP,TOT,MLN_PER,A,1995,22.684268,
ROU,POP,TOT,MLN_PER,A,1996,22.619005,
ROU,POP,TOT,MLN_PER,A,1997,22.553982,
ROU,POP,TOT,MLN_PER,A,1998,22.507354,
ROU,POP,TOT,MLN_PER,A,1999,22.472043,
ROU,POP,TOT,MLN_PER,A,2000,22.442973,
ROU,POP,TOT,MLN_PER,A,2001,22.131974,
ROU,POP,TOT,MLN_PER,A,2002,21.675775,
ROU,POP,TOT,MLN_PER,A,2003,21.574365,
ROU,POP,TOT,MLN_PER,A,2004,21.451845,
ROU,POP,TOT,MLN_PER,A,2005,21.319673,
ROU,POP,TOT,MLN_PER,A,2006,21.193749,
ROU,POP,TOT,MLN_PER,A,2007,20.88298,
ROU,POP,TOT,MLN_PER,A,2008,20.537848,
ROU,POP,TOT,MLN_PER,A,2009,20.367437,
ROU,POP,TOT,MLN_PER,A,2010,20.246798,
ROU,POP,TOT,MLN_PER,A,2011,20.147657,
ROU,POP,TOT,MLN_PER,A,2012,20.060182,
ROU,POP,TOT,MLN_PER,A,2013,19.988694,
ROU,POP,TOT,MLN_PER,A,2014,19.916451,
ROU,POP,TOT,MLN_PER,A,2015,19.82225,
ROU,POP,TOT,MLN_PER,A,2016,19.706424,
ROU,POP,TOT,MLN_PER,A,2017,19.592933,
ROU,POP,TOT,MLN_PER,A,2018,19.476713,
ROU,POP,TOT,MLN_PER,A,2019,19.375835,
ROU,POP,TOT,MLN_PER,A,2020,19.260218,
ROU,POP,WOMEN,MLN_PER,A,1950,8387.21,
ROU,POP,WOMEN,MLN_PER,A,1951,8520.263,
ROU,POP,WOMEN,MLN_PER,A,1952,8641.126,
ROU,POP,WOMEN,MLN_PER,A,1953,8756.177,
ROU,POP,WOMEN,MLN_PER,A,1954,8869.809,
ROU,POP,WOMEN,MLN_PER,A,1955,8984.441,
ROU,POP,WOMEN,MLN_PER,A,1956,9100.387,
ROU,POP,WOMEN,MLN_PER,A,1957,9215.989,
ROU,POP,WOMEN,MLN_PER,A,1958,9327.95,
ROU,POP,WOMEN,MLN_PER,A,1959,9431.859,
ROU,POP,WOMEN,MLN_PER,A,1960,9523.927,
ROU,POP,WOMEN,MLN_PER,A,1961,9602.669,
ROU,POP,WOMEN,MLN_PER,A,1962,9670.54,
ROU,POP,WOMEN,MLN_PER,A,1963,9734.582,
ROU,POP,WOMEN,MLN_PER,A,1964,9804.501,
ROU,POP,WOMEN,MLN_PER,A,1965,9887.145,
ROU,POP,WOMEN,MLN_PER,A,1966,9985.063,
ROU,POP,WOMEN,MLN_PER,A,1967,10095.865,
ROU,POP,WOMEN,MLN_PER,A,1968,10088.636,
ROU,POP,WOMEN,MLN_PER,A,1969,10190.356,
ROU,POP,WOMEN,MLN_PER,A,1970,10307.33,
ROU,POP,WOMEN,MLN_PER,A,1971,10409.633,
ROU,POP,WOMEN,MLN_PER,A,1972,10504.464,
ROU,POP,WOMEN,MLN_PER,A,1973,10589.222,
ROU,POP,WOMEN,MLN_PER,A,1974,10681.634,
ROU,POP,WOMEN,MLN_PER,A,1975,10808.129,
ROU,POP,WOMEN,MLN_PER,A,1976,10930.298,
ROU,POP,WOMEN,MLN_PER,A,1977,11028.305,
ROU,POP,WOMEN,MLN_PER,A,1978,11125.026,
ROU,POP,WOMEN,MLN_PER,A,1979,11193.925,
ROU,POP,WOMEN,MLN_PER,A,1980,11251.356,
ROU,POP,WOMEN,MLN_PER,A,1981,11324.016,
ROU,POP,WOMEN,MLN_PER,A,1982,11385.777,
ROU,POP,WOMEN,MLN_PER,A,1983,11428.085,
ROU,POP,WOMEN,MLN_PER,A,1984,11468.298,
ROU,POP,WOMEN,MLN_PER,A,1985,11515.528,
ROU,POP,WOMEN,MLN_PER,A,1986,11568.996,
ROU,POP,WOMEN,MLN_PER,A,1987,11626.388,
ROU,POP,WOMEN,MLN_PER,A,1988,11681.481,
ROU,POP,WOMEN,MLN_PER,A,1989,11734.892,
ROU,POP,WOMEN,MLN_PER,A,1990,11756.524,
ROU,POP,WOMEN,MLN_PER,A,1991,11674.383,
ROU,POP,WOMEN,MLN_PER,A,1992,11591.895,
ROU,POP,WOMEN,MLN_PER,A,1993,11583.367,
ROU,POP,WOMEN,MLN_PER,A,1994,11574.11,
