NOC,Athletics,Swimming,Gymnastics,Cycling,Rowing,Shooting,Fencing,Canoeing,Wrestling,Football,Boxing,Equestrianism,Judo,Basketball,Handball,Volleyball,Weightlifting,Water Polo,Archery,Diving,Tennis,Table Tennis,Badminton,Modern Pentathlon,Sychronized Swimming,Baseball,Rhythmic Gymnastics,Taekwondo,Beach Volleyball,Triathlon,Softball,Rugby Sevens,Trampoling,Golf,Hockey
IRL,0.09573573155568739,0.3345796452740152,0.0812184597259755,0.009376877629877782,0.060007257713060924,0.0652772214167922,0.04326713341964967,0.07526508820189666,0.1280627124507381,,0.6314710844860212,0.03680075602014278,0.10793215156280649,,,,0.19701595185984422,,0.019608220875819427,0.09400317937627968,0.0429639442949455,,0.0006920750429039766,0.14755929280993965,,,,,,0.37676800379383774,,,,0.07934323111654655,0.0018517165577142008
VIR,0.03904594412461599,0.022144382525262397,,0.1031048906757989,,0.10482107149908593,0.12348862435849596,,0.19097845633363467,,0.21336517699929558,0.16882426765919814,,,,,0.20338185845294757,,,,,,,,,,,,,,,,,,
TLS,0.04449902887192627,,,0.003303412559960544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,0.010238605664919123,0.0024462566824477185,,,,0.003970913365221191,,,,,0.08814230258560483,,0.004348928866562971,,,,0.04968350324817747,,0.027845519023936987,,,,,,,,,0.23510899147822573,,,,,,,
SAU,0.12572904974579097,0.036551629974873635,,0.04315323399150281,,0.13397065118022913,0.06058894965463918,,,0.007838048325945876,,0.5617462215083797,0.12340923933320998,,,,0.20338185845294757,,0.013893537625604338,,,0.0072685319465871645,,,,,,0.41145771971053174,,,,,,,
BEN,0.03300173151452647,0.0050897639371298466,,0.008496320078070269,,,0.06058894965463918,,,,0.11575102965637574,,0.06770886501297256,,,,,,,,0.0340554205919138,,,,,,,0.1845908226813102,,,,,,,
BGD,0.013500317374756784,0.0019781877952995608,0.02490732266443096,,,0.030929963096581515,,,,,,,,,,,,,0.10254685203580942,,,,,,,,,,,,,,,0.03384653311564443,
FJI,0.024084191611856143,0.0050897639371298466,,0.021041703951828045,,0.1927342740525262,,,,0.0007617664230003329,0.15790037816443606,,0.15800319025851753,,,,0.19701595185984422,,0.019608220875819427,,,0.0072685319465871645,,,,,,,,,,0.7233996087903681,,,
ZAF,0.4196341285921085,0.47726315849160716,0.024596414099248665,0.018826100628098974,0.308515769993903,0.006433106245328898,0.010674316265635258,0.08338959037564883,0.0760057379572622,0.000884171746384064,0.2705212288744937,0.03571958330797755,0.11910960395423702,,,,0.04783949224530234,0.00964239666946086,0.004544578134936807,0.03839740822160634,0.5096173930414605,0.007922216400009867,0.0011527429899919261,0.07023345841865083,0.01274244466070292,0.006156228177057625,0.11997985855341148,0.23510899147822573,0.027737282572595338,0.25478206612807325,,0.9619243632621557,,0.07934323111654655,9.179063922357612e-06
KGZ,0.04449902887192627,0.02337962468866477,,0.003303412559960544,,0.0337717404785351,0.007856491549232597,0.1993465364650669,0.26814621261462274,,0.14579654733581954,,0.21927170141617655,,,,0.11312645117701772,,,,,,,0.1664198104884609,,,,0.15800280444806145,,,,,,,
TCD,0.014560708274052628,,,,,,,,,,0.18031539391726345,,0.003201555881115984,,,,,,,,,,,,,,,,,,,,,,
KEN,0.7785550082547041,0.0025136575919653048,,0.0004631396493929382,0.36870600608495996,0.030085224216484435,,,0.02391894802655922,,0.4094191548869391,,0.08019709786213347,,,0.002084097366651931,0.01532378040374488,,0.027845519023936987,,,,,,,,,0.23510899147822573,,,,0.0625759993245524,,,0.0002605051177681608
THA,0.006066987970746313,0.02337962468866477,,0.001160884118695163,0.09294667436125416,0.007840629633213593,0.007638195405193368,0.10793980654144092,,0.00020830452105750162,0.6091013083740815,0.11159693884093254,0.08019709786213347,,,,0.7900481852209058,,0.019608220875819427,0.027685293933304416,0.14869812527853773,0.0072685319465871645,0.025032113340217994,,,,,0.6680239644135525,,,,,,0.03384653311564443,
FIN,0.456670611684667,0.07339131706511327,0.6585497766052884,0.01659878583890061,0.37437637155745557,0.35721119732792356,0.07663470023363149,0.10790480764785342,0.3605136693562865,0.041861328077548283,0.5229769492980312,0.08064124649606128,0.05277926823207431,0.07484500527884352,,,0.32130441611522986,,0.5742482350354319,0.09400317937627968,0.034837497307411945,0.0027407774977874586,0.05520481430994175,0.4928635867204414,0.03101014115533484,,0.08365669240949883,0.25131567750995687,,,,,,0.19738189824234964,
COG,0.04389811179984751,0.043106512042870096,,,,,0.010674316265635258,,,,0.13534339507450133,,0.06114668448639546,,0.05795266952816249,,,,,,,0.007922216400009867,,,,,,,,,,,,,
